MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21200087,1375000,85750,-110.837246,32.324198,0.61,12377,1988,4,5,5548,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone",117
21211065,1212500,85658,-111.05634,32.454997,1.29,8282,2010,4,5,4600,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone, Wood",143
21209308,1325000,85718,-110.930185,32.289338,1.62,14460,2009,4,6,4612,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone, Wood",0
21229423,1374000,85750,-110.825236,32.28334,0.86,10513,2008,5,5,4455,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,Natural Stone,110
21225844,1235000,85658,-111.059255,32.473121,2.2,15498.86,2007,4,4,3700,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone, Wood",143
21612303,1335000,85715,-110.852876,32.256085,1.13,10037.18,1985,5,5,5886,4.5,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone, Wood, Other",48
21400071,1345000,85718,-110.943732,32.337931,0.91,11978.57,2006,4,5,4191,3,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone, Wood",153
21700619,1330000,85718,-110.911566,32.336725,0.87,11319.64,2002,4,6,6111,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Mexican Tile",63
21700812,1325000,85750,-110.862068,32.332178,1.47,12368.25,2000,4,5,4872,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone",233
21717753,1395000,85749,-110.73881,32.271496,6.6,9579,1996,3,3,3059,5,"Desk, Dishwasher, Garbage Disposal, Gas Range, Refrigerator, Countertops: concrete",1,"Carpet, Mexican Tile",0
21522455,1275000,85750,-110.811569,32.286886,0.21,4760.7,1990,2,3,2671,2,"Dishwasher, Freezer, Garbage Disposal, Gas Range, Refrigerator, Warming Drawer, Appliance Color: Other, Countertops: Granite",3,"Natural Stone, Wood",300
21712316,1325000,85718,-110.942869,32.338693,1,15198,2013,4,4,4844,3,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Prep Sink, Refrigerator, Appliance Color: Stainless",3,Natural Stone,158
21729715,1300000,85718,-110.920258,32.340587,0.87,9884.91,2011,4,4,4096,4,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Butler, Refrigerator, Water Purifier, Appliance Color: Black, Countertops: Granite, Microwave: Black, Oven: Double/Black",3,Natural Stone,322
21805690,1200000,85737,-110.976918,32.407569,3.77,12852.08,2005,4,4,4329,3,"Dishwasher, Garbage Disposal, Gas Range, Island, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Oven: Double Viking Ovens",2,"Natural Stone, Wood",138
